2026-06-04 12:30:32 | WARNING | APIGateway | User operator logged in
2026-06-04 12:30:32 | CRITICAL | DBService | 5 failed attempts from user root
2026-06-04 12:30:32 | ERROR | DBService | Connection timeout on port 5317
2026-06-04 12:30:32 | ERROR | CacheService | Connection timeout on port 5858
2026-06-04 12:30:32 | CRITICAL | APIGateway | Request PUT /api/v2/settings - 55ms
2026-06-04 12:30:32 | CRITICAL | DBService | Request DELETE /api/v2/users - 468ms
2026-06-04 12:30:32 | INFO | CacheService | User support01 logged in
2026-06-04 12:30:32 | WARNING | APIGateway | Connection timeout on port 3445
2026-06-04 12:30:32 | ERROR | DBService | Request PUT /api/v2/users - 213ms
2026-06-04 12:30:32 | WARNING | AuthService | 1 failed attempts from user root
2026-06-04 12:30:32 | WARNING | DBService | Connection timeout on port 8672
2026-06-04 12:30:32 | INFO | AuthService | User supervisor logged in
2026-06-04 12:30:32 | CRITICAL | APIGateway | 2 failed attempts from user admin
2026-06-04 12:30:32 | WARNING | APIGateway | Connection timeout on port 3293
2026-06-04 12:30:32 | WARNING | AuthService | User operator logged in
2026-06-04 12:30:32 | INFO | APIGateway | Connection timeout on port 3729
2026-06-04 12:30:32 | INFO | CacheService | Request DELETE /api/v2/orders - 423ms
2026-06-04 12:30:32 | CRITICAL | CacheService | Connection timeout on port 8315
2026-06-04 12:30:32 | ERROR | DBService | Request POST /api/v2/products - 990ms
2026-06-04 12:30:32 | INFO | APIGateway | 3 failed attempts from user root
2026-06-04 12:30:32 | WARNING | DBService | User supervisor logged in
2026-06-04 12:30:32 | ERROR | CacheService | User admin logged in
2026-06-04 12:30:32 | WARNING | APIGateway | Connection timeout on port 7592
2026-06-04 12:30:32 | CRITICAL | CacheService | Request POST /api/v2/settings - 559ms
2026-06-04 12:30:32 | WARNING | CacheService | User operator logged in
2026-06-04 12:30:32 | INFO | AuthService | Request POST /api/v2/products - 985ms
2026-06-04 12:30:32 | CRITICAL | DBService | Request DELETE /api/v2/settings - 855ms
2026-06-04 12:30:32 | WARNING | APIGateway | User operator logged in
2026-06-04 12:30:32 | WARNING | DBService | Request GET /api/v2/products - 704ms
2026-06-04 12:30:32 | ERROR | APIGateway | User support01 logged in
